"pair"	"clusters"	"pvalue"	"mean"
"KLRG2_WNT11"	"CMC-like13|CMC-like13"	1	-7.96578428466209
"KLRG2_TNFSF9"	"CMC-like13|CMC-like13"	1	0
"HLA-DPA1_TNFSF9"	"CMC-like13|CMC-like13"	1	0
"PVR_TNFSF9"	"CMC-like13|CMC-like13"	1	0
"KLRG2_WNT5B"	"CMC-like13|CMC-like13"	1	-4.57346686188333
"HLA-DPA1_GAL"	"CMC-like13|CMC-like13"	1	0
"GALR2_GAL"	"CMC-like13|CMC-like13"	1	0
"GALR3_GAL"	"CMC-like13|CMC-like13"	1	0
"PVR_CD96"	"CMC-like13|CMC-like13"	1	-5.96578428466209
"PVR_CD226"	"CMC-like13|CMC-like13"	1	-5.15842936260448
"PVR_TIGIT"	"CMC-like13|CMC-like13"	1	-5.79585928321977
"PVR_NECTIN3"	"CMC-like13|CMC-like13"	1	-3.89969509420431
"CADM3_NECTIN3"	"CMC-like13|CMC-like13"	1	-4.15842936260448
"CADM1_NECTIN3"	"CMC-like13|CMC-like13"	1	-1.98850436116217
"NECTIN1_NECTIN3"	"CMC-like13|CMC-like13"	1	-3.69899774396719
"TIGIT_NECTIN3"	"CMC-like13|CMC-like13"	1	-4.08314123530025
"NECTIN2_NECTIN3"	"CMC-like13|CMC-like13"	1	-3.09541956507868
"GALR2_GALP"	"CMC-like13|CMC-like13"	1	0
"GALR3_GALP"	"CMC-like13|CMC-like13"	1	0
"GALR1_GALP"	"CMC-like13|CMC-like13"	1	0
"CADM3_CADM1"	"CMC-like13|CMC-like13"	1	-2.32192809488736
"CADM1_CADM1"	"CMC-like13|CMC-like13"	1e-05	-1.33642766458248
"CRTAM_CADM1"	"CMC-like13|CMC-like13"	1	0
"CADM3_CADM4"	"CMC-like13|CMC-like13"	1	-7.96578428466209
"CADM3_EPB41L1"	"CMC-like13|CMC-like13"	1	-3.30757280191029
"NECTIN1_CADM3"	"CMC-like13|CMC-like13"	1	-5.265344566521
"NECTIN1_NECTIN4"	"CMC-like13|CMC-like13"	1	0
"TIGIT_NECTIN2"	"CMC-like13|CMC-like13"	1	-3.87832144341175
"CD226_NECTIN2"	"CMC-like13|CMC-like13"	1	-3.68038206579984
"CDH1_KLRG1"	"CMC-like13|CMC-like13"	1	-4.38082178394093
"FGF2_CD44"	"CMC-like13|CMC-like13"	1	-3.10780328953451
"SPP1_CD44"	"CMC-like13|CMC-like13"	1	0
"LGALS9_CD44"	"CMC-like13|CMC-like13"	1	0
"HGF_CD44"	"CMC-like13|CMC-like13"	1	-2.65290132937773
"FGF2_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF1_FGFR4"	"CMC-like13|CMC-like13"	1	0
"TNFRSF10A_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF17_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF18_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF19_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF6_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF5_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF7_FGFR4"	"CMC-like13|CMC-like13"	1	0
"FGF2_FGFR1"	"CMC-like13|CMC-like13"	1	-2.79585928321977
"FGF1_FGFR1"	"CMC-like13|CMC-like13"	1e-05	-1.2584251525812
"FGF17_FGFR1"	"CMC-like13|CMC-like13"	1	0
"FGF18_FGFR1"	"CMC-like13|CMC-like13"	1	-2.79585928321977
"FGF19_FGFR1"	"CMC-like13|CMC-like13"	1	0
"FGF6_FGFR1"	"CMC-like13|CMC-like13"	1	-3
"FGF10_FGFR1"	"CMC-like13|CMC-like13"	1	-2.9105018491609
"FGF2_FGFR2"	"CMC-like13|CMC-like13"	1	-5.265344566521
"FGF1_FGFR2"	"CMC-like13|CMC-like13"	1	-1.73696559416621
"CD44_FGFR2"	"CMC-like13|CMC-like13"	1	-3.29335894269059
"FGF17_FGFR2"	"CMC-like13|CMC-like13"	1	0
"FGF18_FGFR2"	"CMC-like13|CMC-like13"	1	-5.265344566521
"FGF6_FGFR2"	"CMC-like13|CMC-like13"	1	-7.15842936260448
"FGF5_FGFR2"	"CMC-like13|CMC-like13"	1	-6.96578428466209
"FGF7_FGFR2"	"CMC-like13|CMC-like13"	1	-3.92139016530363
"FGF10_FGFR2"	"CMC-like13|CMC-like13"	1	-6.05889368905357
