Adip1,,,Adip2,,,Adip3,,,Adip4,,
Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC,Gene name,adjusted p-value,logFC
G0S2,2.58E-80,1.59,LAMA2,1.82E-295,4.04,NAMPT,2.21E-85,3.17,TTN,5.67E-53,3.76
AQP7,3.72E-74,1.03,NEGR1,2.38E-266,4.42,MT2A,6.40E-74,3.59,RYR2,8.62E-53,3.74
PDE3B,2.55E-69,0.90,CDH19,3.62E-253,5.21,SLC1A3,6.14E-69,2.33,MYBPC3,7.95E-49,4.47
GPAM,5.07E-65,1.22,PRKG1,2.86E-238,3.50,CDC42EP4,7.86E-66,3.05,ACTC1,2.74E-43,3.51
NEAT1,1.18E-61,0.55,DCLK1,1.24E-215,4.41,MT1X,1.62E-63,2.77,TNNT2,1.69E-38,3.45
PPARG,2.43E-58,0.93,ABCA9,5.53E-215,3.51,SLC39A14,4.92E-63,3.24,ANKRD1,1.16E-37,4.09
MGST1,4.62E-55,0.58,BICC1,8.50E-208,3.85,STAT3,5.01E-62,2.14,TPM1,7.78E-28,2.74
PNPLA2,6.85E-54,0.72,AKT3,1.77E-203,3.28,SOCS3,5.63E-62,3.42,LDB3,4.32E-27,3.87
PRKAR2B,1.64E-53,1.11,ABCA8,1.35E-198,3.07,GADD45B,5.79E-52,2.46,FGF12,1.05E-26,3.38
FABP4,2.76E-51,1.15,FBXL7,2.15E-198,2.93,SAA1,7.52E-51,3.02,MYH6,3.76E-24,4.26
PLIN1,1.62E-48,0.71,ABCA9-AS1,3.90E-197,4.18,ZFP36,3.82E-47,2.43,CACNA1C,2.16E-21,2.93
LIPE-AS1,1.23E-47,0.76,GLIS3,4.48E-196,4.28,OSMR,1.07E-45,2.66,DES,8.23E-21,3.08
MALAT1,1.88E-46,0.39,GAS7,1.77E-195,4.05,FOSL2,2.69E-44,2.76,PALLD,1.04E-20,2.72
AGPAT2,1.78E-43,0.89,ABCA6,8.53E-191,2.86,SAT1,3.65E-44,1.57,MYL7,4.81E-20,3.60
ACSL1,6.86E-38,0.59,KAZN,1.97E-190,3.09,CCNL1,6.38E-44,2.07,NEBL,6.52E-19,3.38
HOOK2,3.31E-35,0.78,DCN,1.30E-181,3.04,NFIL3,6.38E-44,2.75,ACTN2,1.69E-18,3.84
SOX5,5.76E-35,0.48,PID1,1.46E-181,2.82,ACSL4,2.15E-42,2.72,SLC8A1,9.73E-18,2.41
LIPE,5.13E-34,0.82,SPARCL1,1.08E-176,3.05,EPAS1,1.06E-41,2.50,NR4A1,6.10E-16,3.64
PLIN4,1.82E-32,0.81,ABI3BP,4.94E-170,4.18,MT1M,2.17E-41,2.94,CMYA5,6.12E-16,2.99
ACACB,2.49E-32,0.66,IGFBP7,1.38E-169,2.76,ABCA1,2.82E-40,1.70,MYOM1,1.32E-15,2.72
DGAT2,1.57E-31,0.99,COL1A2,1.56E-167,4.17,ACTN1,9.68E-40,2.01,CALD1,7.37E-15,1.59
ADIPOR2,2.39E-29,0.66,LPAR1,1.77E-167,4.99,ARID5B,3.44E-39,1.71,SORBS2,8.30E-15,2.98
LINC02240,1.46E-28,0.99,ABCA10,2.11E-164,2.65,PIM1,5.14E-39,2.46,TCAP,4.19E-14,2.42
EBF1,3.88E-28,0.45,GRK5,4.52E-161,3.91,TENM3,1.80E-38,1.58,PDLIM5,6.35E-14,1.60
GPD1,5.72E-26,0.69,PLA2G5,9.93E-160,3.30,COL4A1,1.28E-35,1.40,MYOZ2,6.94E-14,3.40
MLXIPL,6.64E-26,0.61,CARMIL1,1.62E-159,3.42,DDX21,1.28E-35,1.88,ACTA1,3.89E-11,3.11
TMEM135,1.04E-25,0.48,TFPI,4.75E-159,2.97,GALNT2,1.57E-35,1.75,LINGO1,4.91E-11,1.19
LPL,1.20E-24,0.60,CBLB,4.89E-157,2.44,ANGPTL4,6.12E-35,1.66,TNNI3,6.69E-11,2.56
CD36,3.24E-24,0.76,ACSM3,2.34E-155,3.97,LDLR,2.46E-34,1.90,SLC25A4,8.46E-11,2.49
ACSS2,7.84E-24,0.71,COL6A2,4.94E-155,3.27,NNMT,5.64E-34,1.69,MYL12A,9.45E-11,2.08
FRMD4A,1.27E-23,0.45,ADD3,7.00E-147,2.60,VMP1,4.02E-33,1.74,CTNNA3,3.14E-10,2.46
ELMOD3,1.74E-23,0.74,PLXDC2,3.04E-146,2.86,ITPKC,3.01E-32,2.48,TRDN,1.66E-09,2.99
THRSP,2.40E-23,1.23,PLEKHA5,1.14E-144,2.20,MT1A,2.83E-31,2.57,MYH7,1.82E-09,2.93
ASPH,4.26E-23,0.46,CALD1,1.95E-143,2.12,RND3,4.53E-31,2.45,OBSCN,2.66E-09,3.66
