source,target,coef
AL627309.1,AL136164.1,0.10336090869032051
AL627309.1,PCK1,0.10554300718817963
AL627309.1,GLYCTK,0.11022219153193309
AL627309.1,AL031429.1,0.1265954909530039
AL627309.1,KRT16,0.22681778712585432
AC114498.1,TAT,0.09403721470210806
AC114498.1,AC022296.3,0.09403721470210814
AC114498.1,AC132807.1,0.10873497841054264
AC114498.1,LINC01189,0.1087349784105428
AC114498.1,AC011773.1,0.10873497841054282
AL669831.2,OR1L6,0.21804327336007415
AL669831.2,AC114954.1,0.21804327336007417
AL669831.2,C6orf223,0.2580568522729418
AL669831.2,AC093580.1,0.28855242627884364
AL669831.2,AC084125.1,0.28855242627884414
AL669831.5,ZBTB20,0.19203593062014843
AL669831.5,UGGT2,0.1930643685785306
AL669831.5,CHD9,0.19327674560839508
AL669831.5,FTX,0.21133733730645676
AL669831.5,PRKG1,0.21237731293648446
FAM87B,AC097372.2,0.14880275624280903
FAM87B,MEP1A,0.14880275624280911
FAM87B,AFP,0.16844113883601594
FAM87B,PCK1,0.16909564740952035
FAM87B,LINC02346,0.2307866626833454
LINC00115,N4BP2L2,0.07370794205405483
LINC00115,MYL3,0.07443016625475088
LINC00115,LMOD2,0.0750908889996861
LINC00115,MALAT1,0.0754814754988218
LINC00115,PLN,0.08332582821287962
FAM41C,ACTB,0.10635940960275826
FAM41C,ALOX5AP,0.1086619900566595
FAM41C,CD14,0.11814730847820366
FAM41C,GGN,0.11841558699439905
FAM41C,FCER1A,0.11979602438463666
AL645608.7,NKD1,0.1775662267252403
AL645608.7,TMEM132E,0.1845268942920662
AL645608.7,KCNQ5,0.20727933043094404
AL645608.7,ADAMTSL2,0.2746886544716517
AL645608.7,SLC7A4,0.27713721686554055
AL645608.1,LINC01040,0.10729960322424639
AL645608.1,FOXG1,0.11864738611441118
AL645608.1,AP005436.1,0.12132551722537195
AL645608.1,ADAMTSL2,0.14345371050168212
AL645608.1,DBH,0.14859775899244038
SAMD11,TSHZ2,0.16529607340967808
SAMD11,IL13,0.1871448330930646
SAMD11,LINC02461,0.19438004686402438
SAMD11,MEG8,0.21106206650976345
SAMD11,KAZN,0.21874752793441293
NOC2L,HNRNPA2B1,0.14737919614599132
NOC2L,RPL24,0.14872944312885447
NOC2L,RPL7A,0.14910884128402765
NOC2L,RPS7,0.14922261360455558
NOC2L,DDX5,0.1517154964237649
KLHL17,NCOR2,0.07947630600393747
KLHL17,RSPO4,0.08075061694421505
KLHL17,AC241644.2,0.08217353252791536
KLHL17,AP000426.1,0.09296410120079582
KLHL17,KHDRBS3,0.09853193930785512
PLEKHN1,AL590079.1,0.09053436025988582
PLEKHN1,LINC02208,0.09306228088132397
PLEKHN1,LMO7,0.09635227723099878
PLEKHN1,PIK3R1,0.09656140296371768
PLEKHN1,AC068112.1,0.1342628885775624
PERM1,NEBL,0.3714882828876629
PERM1,MYBPC3,0.3731004721606229
PERM1,LDB3,0.3766616956625173
PERM1,RYR2,0.38045283269063607
PERM1,CKMT2,0.3839511370933906
AL645608.8,FAM107B,0.1411750986235582
AL645608.8,RHOB,0.1464722437832451
AL645608.8,LRRC10B,0.15497539869000485
AL645608.8,HES4,0.19566349358670643
AL645608.8,CYCS,0.20081616581312978
HES4,GJA4,0.45946924940130157
HES4,CYCS,0.4709083644783261
HES4,RHOB,0.4762793845674329
HES4,MCAM,0.5009808445727557
HES4,C11orf96,0.5536889176199982
ISG15,OAS1,0.47758849624216193
ISG15,HLA-B,0.4797098680028449
ISG15,IFI27,0.5198179197927928
ISG15,LY6E,0.5406198134542345
ISG15,IFI6,0.5770119593500393
AL645608.2,AL356276.1,0.20393017905739264
AL645608.2,AC062029.1,0.21956436179501182
AL645608.2,AC005034.2,0.2355431262271728
AL645608.2,AC093849.1,0.2355431262271729
AL645608.2,AC137590.2,0.2355431262271732
AGRN,HLA-A,0.21659324360809135
AGRN,IFITM3,0.22138408352387032
AGRN,TMSB10,0.22432428903988208
AGRN,HLA-B,0.22896648274874373
AGRN,IFI27,0.22921278452294108
C1orf159,MIR99AHG,0.11919679817990013
C1orf159,ZBTB20,0.12097643013438428
C1orf159,NFIA,0.12218940545345182
C1orf159,PTPRG,0.12487275017533325
C1orf159,FTX,0.12995177685634543
LINC01342,HOXA-AS3,0.123687283454208
LINC01342,AC131097.2,0.13837330608791207
LINC01342,AC073869.3,0.13837330608791218
LINC01342,AL161740.1,0.1383733060879123
LINC01342,AC009803.2,0.15987986084775088
TTLL10,GIMAP4,0.10378712424189922
TTLL10,IFI27,0.10560575486173183
TTLL10,CLEC14A,0.1065884695168924
TTLL10,GNG11,0.10760278689864183
TTLL10,HEY1,0.11707680912873077
TNFRSF18,CSF2,0.25262560641408904
TNFRSF18,ACTL10,0.2861874212666778
TNFRSF18,CD7,0.3007311609285442
TNFRSF18,LTA,0.3272257293333149
TNFRSF18,LTB,0.3802299207329413
TNFRSF4,ICAM2,0.32419586648709314
TNFRSF4,HLA-A,0.3326874007431366
TNFRSF4,TMSB10,0.33974382758820254
TNFRSF4,HLA-B,0.3445531752642049
TNFRSF4,IL32,0.3801788322835336
SDF4,CALM1,0.38955038383159485
SDF4,TMSB10,0.39282677238520347
SDF4,HLA-B,0.3936216001596526
SDF4,SRP14,0.3970192679730425
SDF4,IFITM3,0.411834364087415
B3GALT6,RPL9,0.15850585012441348
B3GALT6,RPL18,0.1592732300241857
B3GALT6,CCDC85B,0.1598739097259161
B3GALT6,RPL8,0.16231417570827553
B3GALT6,RPS7,0.16619999723806553
C1QTNF12,ICAM2,0.12429892954358167
C1QTNF12,IFITM2,0.12489940263482381
C1QTNF12,GNG11,0.13091825225633813
C1QTNF12,IFI27,0.13509590187042947
C1QTNF12,TMSB10,0.14399412806947906
AL162741.1,AL021707.7,0.12571859923164025
AL162741.1,NAV2-AS4,0.14255703782037984
AL162741.1,AP000755.1,0.1449894404694907
AL162741.1,HGFAC,0.15402937252139076
AL162741.1,LINC01927,0.21804327336007387
UBE2J2,EEF1A1,0.13605676096445002
UBE2J2,RPS7,0.13660770302926797
UBE2J2,MORF4L1,0.13735785773173195
UBE2J2,CD63,0.13845225510383213
UBE2J2,RACK1,0.13967006914353547
LINC01786,TTN-AS1,0.08549201225653891
LINC01786,PATJ,0.08850720606154776
LINC01786,RYR2,0.09018673620453739
LINC01786,AC009264.1,0.09205025351825959
LINC01786,UCP1,0.09631510701969306
SCNN1D,PSG8-AS1,0.07380038152331041
SCNN1D,AC002094.3,0.07550002171313346
SCNN1D,PLXNA4,0.07598467498723954
SCNN1D,AP005436.1,0.0787031817718911
SCNN1D,LINC02437,0.11103777217494915
ACAP3,MACF1,0.11096327450681284
ACAP3,ZBTB20,0.11222482585302458
ACAP3,DDX17,0.11290829667529086
ACAP3,CFLAR,0.11630784816182135
ACAP3,NEAT1,0.1258526138794578
PUSL1,RPL37A,0.11476865608197931
PUSL1,TPI1,0.11526067481522594
PUSL1,RPS7,0.11909900037598764
PUSL1,HMGB1,0.119315316872972
PUSL1,HNRNPA2B1,0.1195575782263739
INTS11,CFLAR,0.14998419933193546
INTS11,CKMT2,0.1526970339116379
INTS11,MALAT1,0.15291971523523284
INTS11,LDB3,0.15524519757497382
INTS11,KTN1,0.1585213800602032
CPTP,TMSB10,0.15931634378086781
CPTP,LGALS3,0.16115676262132958
CPTP,SELENOW,0.16700511321362393
CPTP,CRIP2,0.17879688967332386
CPTP,TXNIP,0.18208097329248782
TAS1R3,AC131160.1,0.1764074340303312
TAS1R3,LINC00355,0.17842741071321938
TAS1R3,ALCAM,0.19419066393319329
TAS1R3,AC015660.3,0.2035768300124582
TAS1R3,SPOCD1,0.22057792857612618
DVL1,RRAS,0.08855043085311246
DVL1,MT-ATP6,0.0902592750291413
DVL1,CD81,0.09076583137077697
DVL1,DDX5,0.09093558360535578
DVL1,TXNIP,0.09859058460492452
MXRA8,C1R,0.33494197884340676
MXRA8,C1S,0.3386457933731602
MXRA8,GSN,0.3464413206284511
MXRA8,SERPINF1,0.35700331966308385
MXRA8,DCN,0.365828483344063
AURKAIP1,RPS15,0.5024556705890864
AURKAIP1,FAU,0.5033862727178682
AURKAIP1,RPS7,0.5037716197835271
AURKAIP1,RPL19,0.5068990755471671
AURKAIP1,RPL8,0.5102627938963594
CCNL2,FTX,0.2007768043687073
CCNL2,CHD9,0.20116204641796814
CCNL2,SON,0.20160752658727482
CCNL2,ZBTB20,0.20206185105007068
CCNL2,NFIA,0.2055233599414706
MRPL20,RPL35,0.46348618983759515
MRPL20,FAU,0.4646932921784791
MRPL20,RPL8,0.46599106299206305
MRPL20,RPL27,0.4669836408851519
MRPL20,PTMA,0.469249622501898
AL391244.3,PRSS16,0.08757795828942118
AL391244.3,RLN3,0.08757795828942129
AL391244.3,AP003355.2,0.08757795828942132
AL391244.3,AC104777.1,0.08757795828942144
AL391244.3,AC138781.1,0.08757795828942161
ANKRD65,GNG11,0.14900200041695194
ANKRD65,S100A13,0.14969490268000393
ANKRD65,IFITM3,0.1504774696820356
ANKRD65,ITM2B,0.15706752444968622
ANKRD65,GSN,0.15775613832321328
LINC01770,AC111149.2,0.16642075471253426
LINC01770,AL589765.5,0.19224795865977695
LINC01770,LINC01168,0.19224795865977765
LINC01770,AC009227.1,0.19224795865977784
LINC01770,CCDC116,0.20061037477156363
VWA1,GPX3,0.33814558694090213
VWA1,SEMA3B,0.357358351296656
VWA1,LRRTM1,0.38598904755344526
VWA1,S100B,0.3928741323287305
VWA1,PLP1,0.467053705200847
ATAD3C,AC026250.1,0.08931474696036566
ATAD3C,AP000911.2,0.09330157723985207
ATAD3C,HOXD10,0.09380863770458353
ATAD3C,RASA4,0.09529031921552357
ATAD3C,TFF3,0.10809515222510158
ATAD3B,RBPMS,0.11973744237652019
ATAD3B,PLEKHA5,0.12020884958810131
ATAD3B,GOLGA4,0.12068736499318242
ATAD3B,MACF1,0.12171762468487482
ATAD3B,LDB3,0.12287192306736401
ATAD3A,MYH7B,0.11674376019987358
ATAD3A,MYBPC3,0.11786526179886794
ATAD3A,TNNT2,0.11795242593053441
ATAD3A,LDB3,0.11996102923184078
ATAD3A,RETREG1,0.12949948854357082
TMEM240,AC073288.2,0.08037264294758412
TMEM240,AC021242.3,0.08037264294758438
TMEM240,CCDC197,0.08139294159159326
TMEM240,AL353681.1,0.08484423228199862
TMEM240,AL157414.1,0.0901192065687105
SSU72,FAU,0.4328676802759625
SSU72,RPL35A,0.43308494958963656
SSU72,EIF1,0.43443863449944353
SSU72,RPL8,0.43654484587412273
SSU72,GUK1,0.44286774001231766
AL645728.1,IRX1,0.08212510898940087
AL645728.1,AC087379.1,0.11855253089087163
AL645728.1,AC136616.3,0.11855253089087174
AL645728.1,AL161804.1,0.12546213870335013
AL645728.1,AL358075.2,0.14951663774585727
FNDC10,FTL,0.16861159575708795
FNDC10,NMU,0.17089575285563252
FNDC10,P2RY13,0.20935196668998904
FNDC10,TM4SF19,0.21750980661743236
FNDC10,TNFSF15,0.23512137960021168
AL691432.2,NFIA,0.06612014919154542
AL691432.2,ADH1C,0.06664480197870304
AL691432.2,PTN,0.07752501195105124
AL691432.2,MALAT1,0.08356656621496221
AL691432.2,AC024132.3,0.0926420661494821
MIB2,ABLIM1,0.14524357904739366
MIB2,PDE4DIP,0.14667963314359
MIB2,FHOD3,0.1477867462498321
MIB2,MLIP,0.1493635197199117
MIB2,RYR2,0.15177499188260066
MMP23B,TTN-AS1,0.4105149970152719
MMP23B,FHL2,0.41232117436055166
MMP23B,FHOD3,0.41278448743247353
MMP23B,CTNNA3,0.4141269702711839
MMP23B,PDE4DIP,0.43308941007450424
CDK11B,CFLAR,0.1331426609357341
CDK11B,SON,0.13327199561067013
CDK11B,RBM39,0.13438637081901436
CDK11B,DDX5,0.13480022446754478
CDK11B,SRRM2,0.1399262885638919
FO704657.1,AC092073.1,0.10057792884740407
FO704657.1,ZNF254,0.10351596440861384
FO704657.1,PDIA2,0.10404071302788118
FO704657.1,AC099509.1,0.1096298465395501
FO704657.1,AC011933.3,0.10977343175569665
SLC35E2B,MEF2A,0.1394435935655925
SLC35E2B,ZBTB20,0.14321963935220403
