source	target	source_genesymbol	target_genesymbol	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	sources	references	dorothea_level	curation_effort
P84022	P05412	SMAD3	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;DoRothEA;CollecTRI;NTNUcuration_CollecTRI2;TFactS_DoRothEA;TRRUST;DoRothEA-A_CollecTRI2;TRRUST_DoRothEA;TfactS_CollecTRI2;TFactS_CollecTRI;CollecTRI2;TRED_DoRothEA;NTNU.Curated_CollecTRI;TRRUST_CollecTRI2;ExTRI2_CollecTRI2;RegNetwork_DoRothEA	CollecTRI2:11451911;CollecTRI2:10022869;CollecTRI2:12374795;CollecTRI:12374795;CollecTRI2:25483191;TRRUST:10022869;CollecTRI:10022869;DoRothEA:10022869	A	8
P01106	O14746	MYC	TERT	True	True	False	True	True	False	Pavlidis_CollecTRI2;TRRUST_CollecTRI;TRRUST;DoRothEA-A_CollecTRI2;HTRI_CollecTRI;TFactS_CollecTRI;Pavlidis2021_CollecTRI;KEGG-MEDICUS;RegNetwork_DoRothEA;DoRothEA;CollecTRI;NTNUcuration_CollecTRI2;CollecTRI2;NTNU.Curated_CollecTRI;ExTRI2_CollecTRI2;HTRIdb_DoRothEA;TRED_DoRothEA;ExTRI_CollecTRI;TFactS_DoRothEA;TfactS_CollecTRI2;HTRIdb_CollecTRI2;DoRothEA-A_CollecTRI;HTRIdb;TRRUST_DoRothEA;GOA_CollecTRI2;TRRUST_CollecTRI2	CollecTRI2:14744757;HTRIdb:12695333;CollecTRI2:12695333;CollecTRI2:34858826;TRRUST:21132266;CollecTRI2:21627565;CollecTRI:16489011;CollecTRI:17967894;CollecTRI:18586674;CollecTRI2:20924650;CollecTRI:17070091;CollecTRI2:14611815;CollecTRI2:36938425;CollecTRI:18365874;TRRUST:22207128;CollecTRI:17706770;TRRUST:18226852;CollecTRI2:22308265;CollecTRI2:15642200;CollecTRI:12941894;TRRUST:14611815;CollecTRI:12970752;CollecTRI:18158869;CollecTRI:10786671;CollecTRI2:10637317;CollecTRI2:14519204;CollecTRI:17141225;CollecTRI:11435602;CollecTRI2:15369445;CollecTRI2:10723141;CollecTRI:19806010;TRRUST:12941894;CollecTRI2:10022128;CollecTRI2:28978027;CollecTRI:21627565;CollecTRI2:30680798;CollecTRI2:14612409;CollecTRI2:12950019;CollecTRI:21807113;CollecTRI:14612409;CollecTRI:21553143;CollecTRI2:17656250;CollecTRI2:19912441;CollecTRI:10637317;TRRUST:24705139;CollecTRI:19360348;CollecTRI:16402390;CollecTRI2:18754863;CollecTRI:15371341;CollecTRI:23759068;CollecTRI:15665468;CollecTRI2:12824159;CollecTRI:18093727;CollecTRI:23860446;CollecTRI2:19047367;CollecTRI2:26833129;TRRUST:10022128;CollecTRI2:19134217;CollecTRI2:21553143;CollecTRI:10914736;CollecTRI:10491298;TRRUST:18754863;CollecTRI:11606399;CollecTRI2:9637678;CollecTRI2:11356963;CollecTRI2:10203808;TRRUST:19912441;TRRUST:17706770;CollecTRI2:11562751;CollecTRI2:12941894;CollecTRI:19047367;CollecTRI2:18694522;CollecTRI2:22207128;CollecTRI:16880523;CollecTRI:10606235;CollecTRI:19787269;CollecTRI:11279234;CollecTRI2:15063891;CollecTRI:21995449;CollecTRI2:12077335;CollecTRI:21855630;CollecTRI2:15817155;CollecTRI2:22617349;CollecTRI2:19762557;CollecTRI2:12802280;CollecTRI2:24705139;CollecTRI2:29656891;CollecTRI:24705139;CollecTRI2:18226852;CollecTRI:18226852;CollecTRI:15958520;CollecTRI2:17804506;CollecTRI2:16205635;CollecTRI:10022128;CollecTRI2:16402390;CollecTRI:21132266;HTRIdb:11274400;CollecTRI2:32228178;CollecTRI2:29163703;CollecTRI2:19451745;CollecTRI2:11606399;CollecTRI2:12821782;CollecTRI:14563552;CollecTRI2:20454928;CollecTRI2:17706770;CollecTRI2:35689861;CollecTRI2:27758882;CollecTRI:12802280;CollecTRI2:19116866;CollecTRI2:16785237;CollecTRI:12044867;CollecTRI:12821782;CollecTRI:14519204;TRRUST:15595642;CollecTRI2:12044867;CollecTRI2:16880523;TRRUST:10637317;CollecTRI2:26059379;CollecTRI:20723213;CollecTRI2:24970385;CollecTRI2:10914736;CollecTRI2:32194719;CollecTRI:15595642;CollecTRI2:11916966;CollecTRI2:17967894;CollecTRI2:24550717;CollecTRI2:11402027;CollecTRI:15226182;CollecTRI:17942561;CollecTRI:16287840;CollecTRI2:29100407;CollecTRI2:25893605;CollecTRI2:11274400;CollecTRI2:11368876;CollecTRI2:16489011;CollecTRI:17934056;CollecTRI:16785237;CollecTRI2:20183618;CollecTRI2:25686834;CollecTRI:22207128;CollecTRI2:29224245;TRRUST:15958520;CollecTRI2:10648922;CollecTRI:11916966;CollecTRI2:31544708;CollecTRI:11287602;CollecTRI:18754863;CollecTRI2:12082531;CollecTRI:11274400;CollecTRI:19762557;CollecTRI:9988278;CollecTRI:16205635;CollecTRI2:9988278;CollecTRI:19148473;CollecTRI:19003324;CollecTRI2:15595642;CollecTRI2:15958520;CollecTRI:14611815;CollecTRI2:15645079;TRRUST:18093727;CollecTRI:19649288;CollecTRI2:29633022;CollecTRI:10723141;CollecTRI:12695333;CollecTRI:20454512;CollecTRI:12807729;CollecTRI:18818322;CollecTRI:19912441;TRRUST:21553143;CollecTRI2:30664813;CollecTRI:18367227;CollecTRI2:21132266;CollecTRI2:18093727;CollecTRI2:28184371;CollecTRI:15655249;CollecTRI:12646176;CollecTRI:14744757;CollecTRI2:30930986	A	178
P17947	P02818	SPI1	BGLAP	True	True	False	True	True	False	ExTRI_CollecTRI;CollecTRI	CollecTRI:10022617		1
COMPLEX:P17275_P17535	P05412	JUNB_JUND	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:8797597;CollecTRI:1419903;CollecTRI:9834073;CollecTRI:12944913;CollecTRI:1373300;CollecTRI:2548844;CollecTRI:9687385;CollecTRI:8530413;CollecTRI:12903123;CollecTRI:7775415;CollecTRI:8143767;CollecTRI:10022869;CollecTRI:7894465;CollecTRI:11281649;CollecTRI:1826351;CollecTRI:22658828;CollecTRI:9731701;CollecTRI:9743233;CollecTRI:23125217;CollecTRI:19671687;CollecTRI:8892460;CollecTRI:8597534;CollecTRI:10037172;CollecTRI:12972619;CollecTRI:22180088;CollecTRI:1594601;CollecTRI:3142689;CollecTRI:8947050;CollecTRI:9502786;CollecTRI:12209312;CollecTRI:16007074;CollecTRI:12400010;CollecTRI:10366004;CollecTRI:11736649;CollecTRI:8453101;CollecTRI:2169353;CollecTRI:19437621;CollecTRI:8617996;CollecTRI:10208431;CollecTRI:8092982;CollecTRI:8114693;CollecTRI:7631795;CollecTRI:18094076;CollecTRI:7988742;CollecTRI:12052888;CollecTRI:16679312;CollecTRI:16732317;CollecTRI:8065332;CollecTRI:14604893		49
COMPLEX:P05412	P05412	JUN	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:8797597;CollecTRI:1419903;CollecTRI:9834073;CollecTRI:12944913;CollecTRI:1373300;CollecTRI:2548844;CollecTRI:9687385;CollecTRI:8530413;CollecTRI:12903123;CollecTRI:7775415;CollecTRI:8143767;CollecTRI:10022869;CollecTRI:7894465;CollecTRI:11281649;CollecTRI:1826351;CollecTRI:22658828;CollecTRI:9731701;CollecTRI:9743233;CollecTRI:23125217;CollecTRI:19671687;CollecTRI:8892460;CollecTRI:8597534;CollecTRI:10037172;CollecTRI:12972619;CollecTRI:22180088;CollecTRI:1594601;CollecTRI:3142689;CollecTRI:8947050;CollecTRI:9502786;CollecTRI:12209312;CollecTRI:16007074;CollecTRI:12400010;CollecTRI:10366004;CollecTRI:11736649;CollecTRI:8453101;CollecTRI:2169353;CollecTRI:19437621;CollecTRI:8617996;CollecTRI:10208431;CollecTRI:8092982;CollecTRI:8114693;CollecTRI:7631795;CollecTRI:18094076;CollecTRI:7988742;CollecTRI:12052888;CollecTRI:16679312;CollecTRI:16732317;CollecTRI:8065332;CollecTRI:14604893		49
Q15466	P29466	NR0B2	CASP1	True	True	False	True	True	False	ExTRI_CollecTRI;CollecTRI	CollecTRI:10022928		1
COMPLEX:Q04206	P01375	RELA	TNF	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;GEREDB_CollecTRI;TFactS_CollecTRI;IntAct_CollecTRI;NTNU.Curated_CollecTRI;CytReg_CollecTRI	CollecTRI:10640752;CollecTRI:25888873;CollecTRI:18650421;CollecTRI:11243852;CollecTRI:24383830;CollecTRI:15660126;CollecTRI:16831897;CollecTRI:23967268;CollecTRI:20332214;CollecTRI:19055644;CollecTRI:8679226;CollecTRI:11312646;CollecTRI:11266376;CollecTRI:22108091;CollecTRI:22798670;CollecTRI:9916895;CollecTRI:22021035;CollecTRI:8692885;CollecTRI:20484576;CollecTRI:9092569;CollecTRI:15913942;CollecTRI:11367517;CollecTRI:23811275;CollecTRI:8830655;CollecTRI:26997758;CollecTRI:16707469;CollecTRI:9727009;CollecTRI:10079106;CollecTRI:17884817;CollecTRI:12479867;CollecTRI:21138578;CollecTRI:18801463;CollecTRI:14729949;CollecTRI:27534992;CollecTRI:11749970;CollecTRI:9053449;CollecTRI:24130828;CollecTRI:11340079;CollecTRI:16998474;CollecTRI:18689673;CollecTRI:7907090;CollecTRI:11124825;CollecTRI:9435375;CollecTRI:11023661;CollecTRI:16569682;CollecTRI:12181188;CollecTRI:11564889;CollecTRI:13679081;CollecTRI:11340302;CollecTRI:8871061;CollecTRI:20221401;CollecTRI:10837498;CollecTRI:15811878;CollecTRI:10615065;CollecTRI:18177935;CollecTRI:17351769;CollecTRI:12673210;CollecTRI:10748079;CollecTRI:12855710;CollecTRI:16159934;CollecTRI:14527995;CollecTRI:7643522;CollecTRI:17390058;CollecTRI:12080044;CollecTRI:22661093;CollecTRI:19851467;CollecTRI:20195282;CollecTRI:15743782;CollecTRI:18719026;CollecTRI:16850160;CollecTRI:16870149;CollecTRI:15592525;CollecTRI:17646159;CollecTRI:12540841;CollecTRI:16004996;CollecTRI:19026727;CollecTRI:12657243;CollecTRI:12403783;CollecTRI:10553096;CollecTRI:19846753;CollecTRI:10996384;CollecTRI:20974955;CollecTRI:17707233;CollecTRI:10541434;CollecTRI:10199558;CollecTRI:15526279;CollecTRI:11007957;CollecTRI:15175554;CollecTRI:27075886;CollecTRI:26004152;CollecTRI:19734226;CollecTRI:11739517;CollecTRI:20617556;CollecTRI:8626413;CollecTRI:16040075;CollecTRI:14991270;CollecTRI:16288471;CollecTRI:10754326;CollecTRI:19285436;CollecTRI:8051093;CollecTRI:27338466;CollecTRI:25161822;CollecTRI:12610112;CollecTRI:11831701;CollecTRI:20544543;CollecTRI:16433741;CollecTRI:15465827;CollecTRI:23178569;CollecTRI:10201927;CollecTRI:19376732;CollecTRI:22301786;CollecTRI:8702657;CollecTRI:20164416;CollecTRI:9372929;CollecTRI:20534538;CollecTRI:9374527;CollecTRI:23195252;CollecTRI:9888295;CollecTRI:15480988;CollecTRI:15812247;CollecTRI:9129150;CollecTRI:21537341;CollecTRI:10751398;CollecTRI:21982894;CollecTRI:8798400;CollecTRI:15735680;CollecTRI:20547752;CollecTRI:10608299;CollecTRI:9916692;CollecTRI:8043432;CollecTRI:18720042;CollecTRI:10947072;CollecTRI:10497105;CollecTRI:7608567;CollecTRI:25690886;CollecTRI:28039105;CollecTRI:9830008;CollecTRI:12010802;CollecTRI:14760889;CollecTRI:17292554;CollecTRI:12193734;CollecTRI:7895918;CollecTRI:21628458;CollecTRI:2405250;CollecTRI:10775461;CollecTRI:26516703;CollecTRI:9211933;CollecTRI:18651635;CollecTRI:20696864;CollecTRI:23335080;CollecTRI:2263628;CollecTRI:19489038;CollecTRI:10963848;CollecTRI:8805669;CollecTRI:20220144;CollecTRI:7624137;CollecTRI:8219230;CollecTRI:24908318;CollecTRI:12032830;CollecTRI:24129565;CollecTRI:7499267;CollecTRI:17442180;CollecTRI:11374025;CollecTRI:12225945;CollecTRI:15470505;CollecTRI:9742085;CollecTRI:10775602;CollecTRI:22723832;CollecTRI:9581775;CollecTRI:20195489;CollecTRI:22219126;CollecTRI:15928193;CollecTRI:24337575;CollecTRI:21125645;CollecTRI:12813034;CollecTRI:11087751;CollecTRI:2056282;CollecTRI:17049230;CollecTRI:14572618;CollecTRI:19706766;CollecTRI:16931033;CollecTRI:15466196;CollecTRI:14563845;CollecTRI:15313406;CollecTRI:20416375;CollecTRI:23857586;CollecTRI:26596471;CollecTRI:14976218;CollecTRI:15141332;CollecTRI:22782967;CollecTRI:10228009;CollecTRI:16112155;CollecTRI:21502320;CollecTRI:19530226;CollecTRI:12058956;CollecTRI:18077329;CollecTRI:24557496;CollecTRI:10497896;CollecTRI:20097764;CollecTRI:23967302;CollecTRI:19340308;CollecTRI:20413104;CollecTRI:10551799;CollecTRI:11877397;CollecTRI:12105194;CollecTRI:17084384;CollecTRI:16916598;CollecTRI:19420112;CollecTRI:12527815;CollecTRI:14960579;CollecTRI:18772140;CollecTRI:17721042;CollecTRI:2104921;CollecTRI:8264646;CollecTRI:15611276;CollecTRI:17665043;CollecTRI:11297551;CollecTRI:12213589;CollecTRI:17513725;CollecTRI:12686724;CollecTRI:11094063;CollecTRI:11490006;CollecTRI:10542243;CollecTRI:17537727;CollecTRI:14993593;CollecTRI:14646597;CollecTRI:15601669;CollecTRI:16279946;CollecTRI:17878386;CollecTRI:10779525;CollecTRI:12600818;CollecTRI:9452444;CollecTRI:18048358;CollecTRI:16317058;CollecTRI:7758674;CollecTRI:10948181;CollecTRI:12829616;CollecTRI:19132242;CollecTRI:9694874;CollecTRI:1905804;CollecTRI:8622636;CollecTRI:11259437;CollecTRI:12452437;CollecTRI:10206979;CollecTRI:15669179;CollecTRI:15131058;CollecTRI:10486238;CollecTRI:10585438;CollecTRI:8515079;CollecTRI:15615091;CollecTRI:15728492;CollecTRI:16107255;CollecTRI:26023919;CollecTRI:10485496;CollecTRI:26408955;CollecTRI:26114754;CollecTRI:9439980;CollecTRI:20221720;CollecTRI:11007940;CollecTRI:23201825;CollecTRI:10926836;CollecTRI:12165487;CollecTRI:9281604;CollecTRI:16055086;CollecTRI:9831247;CollecTRI:12176740;CollecTRI:21367920;CollecTRI:12712434;CollecTRI:12917325;CollecTRI:8975883;CollecTRI:18285351;CollecTRI:7876168;CollecTRI:14575704;CollecTRI:10619401;CollecTRI:19169266;CollecTRI:19027873;CollecTRI:20066113;CollecTRI:17666485;CollecTRI:20686703;CollecTRI:8804426;CollecTRI:18996370;CollecTRI:11746378;CollecTRI:17407192;CollecTRI:21912593;CollecTRI:16365438;CollecTRI:16834536;CollecTRI:12168659;CollecTRI:1315830;CollecTRI:23971673;CollecTRI:16483936;CollecTRI:16954198;CollecTRI:9560343;CollecTRI:21299717;CollecTRI:17268554;CollecTRI:23922745;CollecTRI:11500175;CollecTRI:17142966;CollecTRI:10926553;CollecTRI:9691914;CollecTRI:9724652;CollecTRI:7797515;CollecTRI:22388040;CollecTRI:18092345;CollecTRI:21098092;CollecTRI:12619377;CollecTRI:1906051;CollecTRI:9056676;CollecTRI:18357389;CollecTRI:15980040;CollecTRI:11594750;CollecTRI:15013838;CollecTRI:20700770;CollecTRI:11470802;CollecTRI:12773487;CollecTRI:16762333;CollecTRI:8258705;CollecTRI:16757480;CollecTRI:18057724;CollecTRI:11856733;CollecTRI:21108432;CollecTRI:9351830;CollecTRI:17303559;CollecTRI:21994466;CollecTRI:11059688;CollecTRI:18408586;CollecTRI:17484137;CollecTRI:11278855;CollecTRI:7583354;CollecTRI:12115600;CollecTRI:12117498;CollecTRI:16684540;CollecTRI:9442380;CollecTRI:10049353;CollecTRI:12620799;CollecTRI:21562054;CollecTRI:20237317;CollecTRI:24012417;CollecTRI:17384033;CollecTRI:10760263;CollecTRI:11675405;CollecTRI:15024051;CollecTRI:9317150;CollecTRI:16199883;CollecTRI:19025640;CollecTRI:10640750;CollecTRI:1618817;CollecTRI:20139176;CollecTRI:17537988		348
COMPLEX:P15408_P17275	P05412	FOSL2_JUNB	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:8797597;CollecTRI:1419903;CollecTRI:9834073;CollecTRI:12944913;CollecTRI:1373300;CollecTRI:2548844;CollecTRI:9687385;CollecTRI:8530413;CollecTRI:12903123;CollecTRI:7775415;CollecTRI:8143767;CollecTRI:10022869;CollecTRI:7894465;CollecTRI:11281649;CollecTRI:1826351;CollecTRI:22658828;CollecTRI:9731701;CollecTRI:9743233;CollecTRI:23125217;CollecTRI:19671687;CollecTRI:8892460;CollecTRI:8597534;CollecTRI:10037172;CollecTRI:12972619;CollecTRI:22180088;CollecTRI:1594601;CollecTRI:3142689;CollecTRI:8947050;CollecTRI:9502786;CollecTRI:12209312;CollecTRI:16007074;CollecTRI:12400010;CollecTRI:10366004;CollecTRI:11736649;CollecTRI:8453101;CollecTRI:2169353;CollecTRI:19437621;CollecTRI:8617996;CollecTRI:10208431;CollecTRI:8092982;CollecTRI:8114693;CollecTRI:7631795;CollecTRI:18094076;CollecTRI:7988742;CollecTRI:12052888;CollecTRI:16679312;CollecTRI:16732317;CollecTRI:8065332;CollecTRI:14604893		49
COMPLEX:P05412_P15407	P05412	FOSL1_JUN	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:8797597;CollecTRI:1419903;CollecTRI:9834073;CollecTRI:12944913;CollecTRI:1373300;CollecTRI:2548844;CollecTRI:9687385;CollecTRI:8530413;CollecTRI:12903123;CollecTRI:7775415;CollecTRI:8143767;CollecTRI:10022869;CollecTRI:7894465;CollecTRI:11281649;CollecTRI:1826351;CollecTRI:22658828;CollecTRI:9731701;CollecTRI:9743233;CollecTRI:23125217;CollecTRI:19671687;CollecTRI:8892460;CollecTRI:8597534;CollecTRI:10037172;CollecTRI:12972619;CollecTRI:22180088;CollecTRI:1594601;CollecTRI:3142689;CollecTRI:8947050;CollecTRI:9502786;CollecTRI:12209312;CollecTRI:16007074;CollecTRI:12400010;CollecTRI:10366004;CollecTRI:11736649;CollecTRI:8453101;CollecTRI:2169353;CollecTRI:19437621;CollecTRI:8617996;CollecTRI:10208431;CollecTRI:8092982;CollecTRI:8114693;CollecTRI:7631795;CollecTRI:18094076;CollecTRI:7988742;CollecTRI:12052888;CollecTRI:16679312;CollecTRI:16732317;CollecTRI:8065332;CollecTRI:14604893		49
COMPLEX:P17535_P53539	P05412	FOSB_JUND	JUN	True	True	False	True	True	False	ExTRI_CollecTRI;TRRUST_CollecTRI;CollecTRI;NTNU.Curated_CollecTRI	CollecTRI:8797597;CollecTRI:1419903;CollecTRI:9834073;CollecTRI:12944913;CollecTRI:1373300;CollecTRI:2548844;CollecTRI:9687385;CollecTRI:8530413;CollecTRI:12903123;CollecTRI:7775415;CollecTRI:8143767;CollecTRI:10022869;CollecTRI:7894465;CollecTRI:11281649;CollecTRI:1826351;CollecTRI:22658828;CollecTRI:9731701;CollecTRI:9743233;CollecTRI:23125217;CollecTRI:19671687;CollecTRI:8892460;CollecTRI:8597534;CollecTRI:10037172;CollecTRI:12972619;CollecTRI:22180088;CollecTRI:1594601;CollecTRI:3142689;CollecTRI:8947050;CollecTRI:9502786;CollecTRI:12209312;CollecTRI:16007074;CollecTRI:12400010;CollecTRI:10366004;CollecTRI:11736649;CollecTRI:8453101;CollecTRI:2169353;CollecTRI:19437621;CollecTRI:8617996;CollecTRI:10208431;CollecTRI:8092982;CollecTRI:8114693;CollecTRI:7631795;CollecTRI:18094076;CollecTRI:7988742;CollecTRI:12052888;CollecTRI:16679312;CollecTRI:16732317;CollecTRI:8065332;CollecTRI:14604893		49
