symbol,ensembl,r_json,r_local_scvi_proj,r_local_cell_youth,r_donor_youth,r_donor_chron_age,ci95_low,ci95_high,p_donor,mean_young_le55,mean_aged_ge65,mean_young_lt60,mean_aged_ge60,n_donors,q_donor_bh
NEGR1,ENSG00000172260,0.299,0.17859122157096863,0.14223514650665145,0.6144541624665842,-0.6144541624665842,0.12443552368554499,0.8635164662168142,0.019383769592700033,2.7344460487365723,2.0856094360351562,2.528163433074951,2.339845657348633,14,0.037276479985961605
ABCA10,ENSG00000154263,0.2772,0.1652020812034607,0.14129257693780256,0.510893434773423,-0.510893434773423,-0.027017637144556017,0.8193709345559516,0.06190816763931267,1.5525792837142944,0.844853401184082,1.3221219778060913,1.3103750944137573,14,0.07549776541379595
PID1,ENSG00000153823,0.2503,0.2989337742328644,0.2635395338027642,0.7845890424168029,-0.7845890424168029,0.43515279313682187,0.9286047171841201,0.0008906724672655195,2.10856294631958,1.036704182624817,1.8265814781188965,1.1768825054168701,14,0.01794031326512984
ENSG00000256947,ENSG00000256947,0.2413,0.5122008919715881,0.444753133213499,0.7362047372062972,-0.7362047372062972,0.33742120185314,0.9109542748119843,0.002679664515100603,1.3202189207077026,0.15929631888866425,1.0621412992477417,0.17598053812980652,14,0.020492524728071882
ABCA9,ENSG00000154258,0.2369,0.19513371586799622,0.1561595563353567,0.5371382159611401,-0.5371382159611401,0.00916209743414244,0.8309156308157623,0.04762599023403334,1.9577277898788452,1.2564841508865356,1.709717035293579,1.47649347782135,14,0.05953248779254168
KAZN,ENSG00000189337,0.2336,0.19318200647830963,0.21217246458620975,0.7301496521823024,-0.7301496521823024,0.3257672184634406,0.9086994116137903,0.0030264509659525384,2.4472410678863525,1.4891549348831177,2.1632094383239746,1.5276576280593872,14,0.020492524728071882
LAMB1,ENSG00000091136,0.2313,0.29300469160079956,0.18438152039021227,0.41677410544004617,-0.41677410544004617,-0.1461270005748837,0.7758039625532707,0.13821197534842253,1.3476086854934692,0.659829318523407,1.263197422027588,0.9084939956665039,14,0.14548628984044476
ADGRB3,ENSG00000135298,0.2312,0.10377660393714905,0.08120828195926874,0.44010774934076347,-0.44010774934076347,-0.11804487263330937,0.7869337575795294,0.11529331597060327,1.3229974508285522,0.9393916130065918,1.234539270401001,1.2800400257110596,14,0.12669595161604755
NCAM2,ENSG00000154654,0.2143,0.15795724093914032,0.11968129788264986,0.48161528538022114,-0.48161528538022114,-0.06578184254589244,0.8061897124047315,0.08120350588747113,1.0277775526046753,0.6040405035018921,0.9678202867507935,0.7740283608436584,14,0.0934954242028857
ACSM3,ENSG00000005187,0.213,0.30987855792045593,0.30442052543521203,0.7048117357780007,-0.7048117357780007,0.27829785428378045,0.8991493934865924,0.004878928147099828,2.4186198711395264,0.9379821419715881,1.9775974750518799,1.060911774635315,14,0.0237790087309932
EPS8,ENSG00000151491,0.2114,0.2228659987449646,0.16653961559414682,0.6283888740613155,-0.6283888740613155,0.1467203624794871,0.869178793175244,0.016094637544766026,1.0549144744873047,0.5277487635612488,1.0171124935150146,0.6325587630271912,14,0.034988342488621794
ADD3,ENSG00000148700,0.2042,0.23004256188869476,0.2160769443824035,0.7843107179946524,-0.7843107179946524,0.4345660276404867,0.9285050153078117,0.0008970156632564922,1.1783447265625,0.509666919708252,1.005017876625061,0.6442135572433472,14,0.01794031326512984
EGFR,ENSG00000146648,0.2011,0.2654811143875122,0.13820719014872385,0.45677524242467754,-0.45677524242467754,-0.0974235504949661,0.7947480816775194,0.10060777173055015,1.2757900953292847,0.6503171324729919,1.0831719636917114,0.9251903891563416,14,0.11178641303394461
THUMPD1,ENSG00000066654,0.2008,0.37460848689079285,0.3673098315630493,0.7709949500115015,-0.7709949500115015,0.40683628799924093,0.9237106000443226,0.001245484307984371,1.021401286125183,0.16344676911830902,0.8557807803153992,0.15753650665283203,14,0.020492524728071882
ZFHX3,ENSG00000140836,0.2002,0.2809011936187744,0.2095729551353483,0.6403133485411378,-0.6403133485411378,0.1661866515875457,0.8739746430788786,0.013633309755694628,1.2571709156036377,0.6136897802352905,1.1777453422546387,0.6965636014938354,14,0.033690451696519706
ABCA9-AS1,ENSG00000231749,0.1918,0.24084994196891785,0.24013593824956977,0.6536707087899895,-0.6536707087899895,0.18843989665844427,0.8792932730892064,0.01122973198090649,1.7732772827148438,0.9208630919456482,1.4711436033248901,0.8225445747375488,14,0.031193699946962472
