symbol,ensembl,r_json,r_local_scvi_proj,r_local_cell_youth,r_donor_youth,r_donor_chron_age,ci95_low,ci95_high,p_donor,mean_young_le55,mean_aged_ge65,mean_young_lt60,mean_aged_ge60,n_donors,q_donor_bh
TTN-AS1,ENSG00000237298,0.3002,0.49806690216064453,0.431018006003473,0.5808938400586987,-0.5808938400586987,0.07271988841105333,0.8496166396711978,0.029377816842519826,3.219985008239746,1.9613614082336426,3.107815742492676,1.7250268459320068,14,0.058755633685039645
MLIP-AS1,ENSG00000235050,0.2446,0.435356080532074,0.35372982801693187,0.6040583278270618,-0.6040583278270618,0.10812603006085324,0.8592508533688524,0.02215105930709054,1.3934953212738037,0.4535870850086212,1.3333054780960083,0.5561469197273254,14,0.04614804022310529
SH3RF2,ENSG00000156463,0.2136,0.2929483950138092,0.1252144270188154,0.3193135205024769,-0.3193135205024769,-0.25437010914867586,0.7267689417828754,0.26578424094506936,1.0245977640151978,0.5445075631141663,1.0309761762619019,0.6292136311531067,14,0.30549912752306824
DDX60L,ENSG00000181381,0.1997,0.395942360162735,0.36916549057184184,0.7403722643989205,-0.7403722643989205,0.34551393146008125,0.9125001835683425,0.002459800411071745,0.8458018898963928,0.12101269513368607,0.7905583381652832,0.16504065692424774,14,0.03302960731616467
PRKCE,ENSG00000171132,0.1911,0.15624460577964783,0.11799176456781553,0.5004824786046304,-0.5004824786046304,-0.04098959979820811,0.8147209267751983,0.0683455722233757,0.8149679899215698,0.5872047543525696,0.8105576634407043,0.6032263040542603,14,0.09626136932869817
SLC8A1-AS1,ENSG00000227028,0.1904,0.36070743203163147,0.2721565798656693,0.5911900530622747,-0.5911900530622747,0.08830074356367577,0.8539211371734239,0.02597672112457617,2.285336971282959,1.6992073059082031,2.2385151386260986,1.4462625980377197,14,0.0530137165807677
WDFY3,ENSG00000163625,0.185,0.16780883073806763,0.10751751361488714,0.6247747608336217,-0.6247747608336217,0.14089321164051738,0.8677162492085307,0.01690348779707558,0.5156850814819336,0.29890134930610657,0.5002083778381348,0.36556294560432434,14,0.04225871949268895
ENSG00000234352,ENSG00000234352,0.1666,0.29825088381767273,0.24169262809871905,0.5722867834748764,-0.5722867834748764,0.05988276765751214,0.8459906369216466,0.03246673266213971,1.280174970626831,0.6202092170715332,1.2890682220458984,0.6665264368057251,14,0.061257986154980584
ATP1A2,ENSG00000018625,0.1655,0.3520475924015045,0.25748022178676877,0.5128428035454492,-0.5128428035454492,-0.02437792708266805,0.8202371228511729,0.06075300163280689,0.9948192238807678,0.4717777967453003,0.9743068814277649,0.4931598901748657,14,0.09067612184001028
TLN2,ENSG00000171914,0.1505,0.16247674822807312,0.14105189575247878,0.5408997648172531,-0.5408997648172531,0.014463368043461369,0.8325498121404662,0.04579577039692958,0.8914070129394531,0.6045708060264587,0.8462516665458679,0.6372071504592896,14,0.07386414580149932
ADD3,ENSG00000148700,0.1502,0.15713796019554138,0.08802457892822399,0.4790067796057617,-0.4790067796057617,-0.06915715616549391,0.8049995030396214,0.08310620307681915,0.570321261882782,0.3747699558734894,0.5637795329093933,0.4466058313846588,14,0.11080827076909221
PRELID2,ENSG00000186314,0.1486,0.14108462631702423,0.026994439002239762,0.1161147748822667,-0.1161147748822667,-0.4416842668977005,0.6091716102129995,0.6926237413868284,1.0870033502578735,0.6979657411575317,1.108443260192871,1.0046638250350952,14,0.714045094213225
COBLL1,ENSG00000082438,0.1434,0.15853355824947357,0.10920506534460116,0.620722378953608,-0.620722378953608,0.13439905589481402,0.8660713305236375,0.017846753468346747,0.2917398512363434,0.13918781280517578,0.2945939004421234,0.18888406455516815,14,0.04303133773144903
DGKG,ENSG00000058866,0.1425,0.15734373033046722,0.12591752282937993,0.29741052902901716,-0.29741052902901716,-0.27686701345801007,0.7151461598095544,0.30176043492918553,1.192131757736206,0.9850253462791443,1.1866213083267212,1.0279911756515503,14,0.339056668459759
TMEM135,ENSG00000166575,0.1334,0.1283533275127411,0.11587059490284582,0.6092222289733902,-0.6092222289733902,0.11619417936242338,0.861374147366307,0.020741634817821694,0.44556424021720886,0.2731212079524994,0.440865695476532,0.30523568391799927,14,0.04609252181738154
GRXCR2,ENSG00000204928,0.133,0.13800443708896637,0.016654331446037927,0.08383579181781192,-0.08383579181781192,-0.46754912981806845,0.5882561640264954,0.7756900439691985,0.6803039312362671,0.3515021502971649,0.69827800989151,0.5860517621040344,14,0.7915204530297943
MARCHF3,ENSG00000173926,0.1328,0.0811389610171318,0.09734000388099526,0.6057014937043925,-0.6057014937043925,0.11068626767957132,0.859927445833753,0.021694984878285178,0.9013275504112244,0.73317551612854,0.8821131587028503,0.7708665132522583,14,0.04614804022310529
RYR2,ENSG00000198626,0.1327,0.20644314587116241,0.07498536013494639,0.15253538606545192,-0.15253538606545192,-0.4113433058436795,0.6319748552055504,0.6026545397694324,5.191822052001953,4.869076728820801,5.122632026672363,5.018179416656494,14,0.6277651455931588
SLC38A2,ENSG00000134294,0.1312,0.07360142469406128,0.12401631341037077,0.5083477561497648,-0.5083477561497648,-0.030453573523730567,0.8182376554431007,0.06344031267223768,0.5011902451515198,0.29598838090896606,0.4967738091945648,0.3279685080051422,14,0.0919424821336778
PCDH7,ENSG00000169851,0.1296,0.14060041308403015,0.0781265973905561,0.40632066959226815,-0.40632066959226815,-0.15842022846033085,0.7707442984640963,0.14940125538617854,1.7287904024124146,1.491745948791504,1.73921799659729,1.4625846147537231,14,0.18219665290997383
ACACB,ENSG00000076555,0.129,0.19680972397327423,0.1731208618514691,0.6647805660225102,-0.6647805660225102,0.20732004298238244,0.8836745388523551,0.009490862865471296,1.6392748355865479,1.16780424118042,1.6198668479919434,1.272781491279602,14,0.03302960731616467
TGM2,ENSG00000198959,0.124,0.1387999802827835,0.1550554118080231,0.39435439225698676,-0.39435439225698676,-0.17228086244628868,0.7648954134164323,0.1629271679395397,0.5592414736747742,0.37784329056739807,0.5596487522125244,0.3847797214984894,14,0.19396091421373776
ENSG00000280441,ENSG00000280441,0.1233,0.2596490681171417,0.22392173386125086,0.7010829237602889,-0.7010829237602889,0.2714836571060684,0.8977281828830272,0.00521333181595167,0.27328160405158997,0.001141553046181798,0.2476402074098587,0.01720951311290264,14,0.03302960731616467
PRR16,ENSG00000184838,0.1178,0.17126840353012085,0.13314048361015784,0.5010153709784664,-0.5010153709784664,-0.04027954023142395,0.8149599263064722,0.06800495379703407,0.6792909502983093,0.42242398858070374,0.6367678642272949,0.4434009790420532,14,0.09626136932869817
GASK1B-AS1,ENSG00000248429,0.1162,0.16501863300800323,0.1360873424435474,0.6438223381759097,-0.6438223381759097,0.17198620067079462,0.87537729359628,0.012967037233360844,0.2443595826625824,0.10451620817184448,0.2331288456916809,0.10783528536558151,14,0.03601954787044678
SMCHD1,ENSG00000101596,0.1157,0.15476085245609283,0.10571988506007476,0.5549201173800126,-0.5549201173800126,0.03448691968675335,0.838596470037514,0.039424456184952855,0.6187424659729004,0.3720439076423645,0.5984062552452087,0.45654064416885376,14,0.06797320031888424
ENSG00000256947,ENSG00000256947,0.1151,0.1805327981710434,0.15543992208814292,0.5530520218542615,-0.5530520218542615,0.0317946006329482,0.837794819360403,0.04023331437824088,0.21435488760471344,0.039426155388355255,0.2011832892894745,0.06464949995279312,14,0.06819205826820487
ENSG00000258231,ENSG00000258231,0.1149,0.2571326792240143,0.01372470222186591,0.061983494326963824,-0.061983494326963824,-0.4845391672800925,0.573703050768204,0.8332782144030135,0.3596673309803009,0.19607388973236084,0.4565211534500122,0.20981164276599884,14,0.84169516606365
RCSD1,ENSG00000198771,0.1145,0.1331462264060974,0.12383905622329193,0.47558884565375364,-0.47558884565375364,-0.07356092629611438,0.8034359857786864,0.08564643003481835,0.5726627707481384,0.3572345972061157,0.5417388677597046,0.3498363196849823,14,0.1126926710984452
NFXL1,ENSG00000170448,0.1112,0.10525243729352951,0.0441435773287224,0.1712510581113075,-0.1712510581113075,-0.3952501089967466,0.6433786393173548,0.5582961801127267,0.2502826452255249,0.1640746146440506,0.2827087938785553,0.1691920906305313,14,0.6003184732394911
PRICKLE1,ENSG00000139174,0.1109,0.2055046260356903,0.15677297662132225,0.68889537113568,-0.68889537113568,0.2495080247295349,0.8930542543650686,0.006432762994179958,0.49243876338005066,0.21570393443107605,0.4808230698108673,0.26938551664352417,14,0.03302960731616467
KIAA1217,ENSG00000120549,0.1092,0.16671407222747803,0.11869022064341361,0.4989493505246437,-0.4989493505246437,-0.04302939113792748,0.8140327306203147,0.06933230848656101,1.2192673683166504,0.8974301218986511,1.225755214691162,0.9986237287521362,14,0.0962948728980014
LAMA4,ENSG00000112769,0.1087,0.1235826164484024,0.0713993017687662,0.21549573352238652,-0.21549573352238652,-0.3557700721829825,0.6695295030979193,0.4593622726299147,0.5726127624511719,0.4144376516342163,0.549370527267456,0.45779871940612793,14,0.5047937061867194
ITPR2,ENSG00000123104,0.1079,0.09581898897886276,0.07232746264890125,0.39763170715266405,-0.39763170715266405,-0.1685069034412936,0.76650340005121,0.1591458906514709,0.47463804483413696,0.3930385112762451,0.4608435034751892,0.3593466579914093,14,0.191742036929483
