symbol,ensembl_id,r_json,r_lit_donor,p_lit_donor,r_peri_donor,p_peri_donor,same_sign,replicates_peri_p005_same_sign,replicates_both_p005_same_sign,replicates_peri_emp95_same_sign,replicates_both_emp95_same_sign
TTN-AS1,ENSG00000237298,0.2639,0.6641,0.00959,0.1832,0.18494,True,False,False,False,False
DDX60L,ENSG00000181381,0.2379,0.7647,0.00144,0.1932,0.16156,True,False,False,False,False
MLIP-AS1,ENSG00000235050,0.217,0.6772,0.0078,0.2782,0.04169,True,True,True,False,False
MARCHF3,ENSG00000173926,0.1956,0.6621,0.00989,-0.105,0.44973,False,False,False,False,False
KCNJ3,ENSG00000162989,0.1611,0.0082,0.97791,0.3507,0.00932,True,True,False,False,False
RYR2,ENSG00000198626,0.1564,0.6132,0.0197,0.1862,0.17764,True,False,False,False,False
ENSG00000280441,ENSG00000280441,0.1561,0.5692,0.03363,-0.2538,0.06405,False,False,False,False,False
LTBP1,ENSG00000049323,0.1504,0.5475,0.04269,-0.2831,0.03808,False,False,False,False,False
SLC8A1-AS1,ENSG00000227028,0.1503,0.6292,0.01591,0.2017,0.14351,True,False,False,False,False
AGBL4,ENSG00000186094,0.15,0.4571,0.10037,0.406,0.00232,True,True,False,True,False
SH3RF2,ENSG00000156463,0.1448,0.4226,0.13225,0.3635,0.00689,True,True,False,False,False
ACACB,ENSG00000076555,0.1397,0.6107,0.02036,-0.1235,0.37381,False,False,False,False,False
LRMDA,ENSG00000148655,0.1381,0.3885,0.16983,0.3496,0.00956,True,True,False,False,False
ZNF521,ENSG00000198795,0.1368,0.4429,0.11276,0.1549,0.2633,True,False,False,False,False
ENSG00000278996,ENSG00000278996,0.1367,0.5519,0.04073,-0.1262,0.36307,False,False,False,False,False
SYNE1,ENSG00000131018,0.1362,0.7345,0.00277,-0.1242,0.37098,False,False,False,False,False
LIFR,ENSG00000113594,0.1341,0.5005,0.06837,0.3126,0.02135,True,True,False,False,False
