symbol,ensembl_id,r_json,r_lit_donor,p_lit_donor,r_peri_donor,p_peri_donor,same_sign,replicates_peri_p005_same_sign,replicates_both_p005_same_sign,replicates_peri_emp95_same_sign,replicates_both_emp95_same_sign
NEGR1,ENSG00000172260,0.299,0.6253,0.01679,0.392,0.00337,True,True,True,True,False
ABCA10,ENSG00000154263,0.2772,0.5226,0.05523,0.3443,0.01079,True,True,False,False,False
PID1,ENSG00000153823,0.2503,0.7752,0.00113,0.2533,0.06463,True,False,False,False,False
ENSG00000256947,ENSG00000256947,0.2413,0.732,0.00292,0.2942,0.03083,True,True,True,False,False
ABCA9,ENSG00000154258,0.2369,0.6264,0.01655,0.1741,0.20795,True,False,False,False,False
KAZN,ENSG00000189337,0.2336,0.7525,0.0019,0.2013,0.14441,True,False,False,False,False
LAMB1,ENSG00000091136,0.2313,0.3544,0.21374,-0.1239,0.37188,False,False,False,False,False
ADGRB3,ENSG00000135298,0.2312,0.3267,0.25429,0.1711,0.21609,True,False,False,False,False
NCAM2,ENSG00000154654,0.2143,0.4813,0.08142,0.2164,0.11598,True,False,False,False,False
ACSM3,ENSG00000005187,0.213,0.6811,0.00733,0.1711,0.21614,True,False,False,False,False
EPS8,ENSG00000151491,0.2114,0.6817,0.00724,0.0749,0.59038,True,False,False,False,False
ADD3,ENSG00000148700,0.2042,0.7747,0.00114,0.1661,0.22987,True,False,False,False,False
EGFR,ENSG00000146648,0.2011,0.391,0.16686,0.1036,0.45592,True,False,False,False,False
THUMPD1,ENSG00000066654,0.2008,0.731,0.00298,0.2606,0.05703,True,False,False,False,False
ZFHX3,ENSG00000140836,0.2002,0.5911,0.026,-0.306,0.02444,False,False,False,False,False
ABCA9-AS1,ENSG00000231749,0.1918,0.6844,0.00694,0.2248,0.10213,True,False,False,False,False
DCLK1,ENSG00000133083,0.188,0.3035,0.29148,0.3975,0.00291,True,True,False,True,False
COL4A4,ENSG00000081052,0.1866,0.7561,0.00175,0.4311,0.00114,True,True,True,True,False
BICC1,ENSG00000122870,0.1849,0.1273,0.66465,0.1418,0.3064,True,False,False,False,False
TLN2,ENSG00000171914,0.1802,0.739,0.00253,0.1709,0.21673,True,False,False,False,False
ACSM1,ENSG00000166743,0.1788,0.7372,0.00262,0.2277,0.09768,True,False,False,False,False
GLIS3,ENSG00000107249,0.1787,0.5882,0.02694,-0.068,0.62538,False,False,False,False,False
IRAK3,ENSG00000090376,0.1776,0.6539,0.01119,-0.0426,0.75953,False,False,False,False,False
SPOCK1,ENSG00000152377,0.1759,0.6166,0.01885,0.2646,0.05314,True,False,False,False,False
LINC01088,ENSG00000249307,0.1719,0.4736,0.08716,-0.1491,0.28201,False,False,False,False,False
ABCA6,ENSG00000154262,0.1642,0.4441,0.11169,0.2426,0.07714,True,False,False,False,False
CALCRL-AS1,ENSG00000224063,0.1626,0.5438,0.04442,0.2731,0.04573,True,True,True,False,False
RIPOR3,ENSG00000042062,0.1626,0.4197,0.13514,0.0289,0.8359,True,False,False,False,False
SCN7A,ENSG00000136546,0.1614,0.3977,0.15907,0.1447,0.29651,True,False,False,False,False
PCSK6,ENSG00000140479,0.1604,0.5225,0.05524,0.0716,0.60713,True,False,False,False,False
TMEM135,ENSG00000166575,0.1597,0.646,0.01257,0.0663,0.63359,True,False,False,False,False
CARMIL1,ENSG00000079691,0.1586,0.693,0.006,-0.1033,0.45742,False,False,False,False,False
SOX5,ENSG00000134532,0.1579,0.5506,0.04132,0.0328,0.81384,True,False,False,False,False
COL4A3,ENSG00000169031,0.1565,0.7337,0.00282,0.3288,0.0152,True,True,True,False,False
PTBP2,ENSG00000117569,0.1559,0.7315,0.00295,-0.0496,0.72162,False,False,False,False,False
FOXP2,ENSG00000128573,0.1557,0.7671,0.00136,0.1977,0.15196,True,False,False,False,False
MAMDC2-AS1,ENSG00000204706,0.1556,0.7071,0.00468,0.0314,0.82146,True,False,False,False,False
CLSTN2,ENSG00000158258,0.1554,0.6689,0.0089,0.1984,0.15035,True,False,False,False,False
MARCHF3,ENSG00000173926,0.1538,0.0425,0.88541,-0.2276,0.09787,False,False,False,False,False
INVS,ENSG00000119509,0.1522,0.7324,0.00289,0.2094,0.12865,True,False,False,False,False
SPATA6,ENSG00000132122,0.1519,0.713,0.00421,0.1945,0.1588,True,False,False,False,False
FTO,ENSG00000140718,0.1518,0.6764,0.00791,-0.0894,0.52031,False,False,False,False,False
SLC38A2,ENSG00000134294,0.1502,0.6506,0.01175,0.0856,0.53814,True,False,False,False,False
SLC25A13,ENSG00000004864,0.1502,0.6414,0.01342,-0.0264,0.84973,False,False,False,False,False
MAN1A1,ENSG00000111885,0.1499,0.5665,0.03466,0.0807,0.56187,True,False,False,False,False
UST,ENSG00000111962,0.1491,0.5898,0.02641,0.4533,0.00058,True,True,True,True,False
VIT,ENSG00000205221,0.1484,0.5779,0.03041,0.2206,0.109,True,False,False,False,False
ZHX3,ENSG00000174306,0.148,0.7588,0.00165,0.2475,0.07123,True,False,False,False,False
ADAMTSL3,ENSG00000156218,0.1478,0.3483,0.2223,0.3029,0.02601,True,True,False,False,False
TMSB4X,ENSG00000205542,-0.2772,-0.7634,0.00149,0.398,0.00288,False,False,False,False,False
RPL21,ENSG00000122026,-0.2732,-0.6688,0.00892,0.3252,0.01643,False,False,False,False,False
RPL3,ENSG00000100316,-0.2715,-0.6619,0.00992,0.29,0.03341,False,False,False,False,False
LUM,ENSG00000139329,-0.2708,-0.7496,0.00202,0.3368,0.01277,False,False,False,False,False
SERPINF1,ENSG00000132386,-0.2644,-0.6944,0.00586,0.3128,0.02129,False,False,False,False,False
RPL26,ENSG00000161970,-0.2621,-0.6119,0.02003,0.3241,0.01681,False,False,False,False,False
RPL39,ENSG00000198918,-0.2567,-0.61,0.02053,0.0679,0.62549,False,False,False,False,False
RPS27,ENSG00000177954,-0.2566,-0.6403,0.01364,0.3022,0.02635,False,False,False,False,False
B2M,ENSG00000166710,-0.256,-0.7151,0.00404,0.392,0.00337,False,False,False,False,False
RPL34,ENSG00000109475,-0.2539,-0.6613,0.01001,0.3433,0.01104,False,False,False,False,False
RPL13A,ENSG00000142541,-0.2526,-0.7033,0.00501,0.2476,0.0711,False,False,False,False,False
CALM2,ENSG00000143933,-0.2464,-0.6081,0.02103,0.2592,0.05839,False,False,False,False,False
RPL9,ENSG00000163682,-0.2445,-0.5992,0.02354,0.3171,0.01947,False,False,False,False,False
RPS18,ENSG00000231500,-0.237,-0.6533,0.01128,0.3414,0.01151,False,False,False,False,False
TIMP1,ENSG00000102265,-0.2359,-0.68,0.00745,0.1365,0.32507,False,False,False,False,False
RPS14,ENSG00000164587,-0.2342,-0.6813,0.00729,0.3205,0.01814,False,False,False,False,False
LGALS1,ENSG00000100097,-0.2331,-0.7336,0.00282,0.3164,0.01975,False,False,False,False,False
HSPB1,ENSG00000106211,-0.2321,-0.6695,0.00881,-0.1159,0.40414,True,False,False,False,False
FTL,ENSG00000087086,-0.2299,-0.6192,0.01822,0.4079,0.0022,False,False,False,False,False
RPS12,ENSG00000112306,-0.2284,-0.612,0.02002,0.3455,0.01051,False,False,False,False,False
RPS28,ENSG00000233927,-0.2279,-0.6379,0.0141,0.289,0.03402,False,False,False,False,False
C1R,ENSG00000159403,-0.2219,-0.7103,0.00442,0.2929,0.03162,False,False,False,False,False
RPS2,ENSG00000140988,-0.2213,-0.663,0.00975,0.341,0.01164,False,False,False,False,False
MT-ND4,ENSG00000198886,-0.2202,-0.5922,0.02566,0.3774,0.0049,False,False,False,False,False
JUNB,ENSG00000171223,-0.2194,-0.3043,0.29016,0.2144,0.11946,False,False,False,False,False
RPS10,ENSG00000124614,-0.2177,-0.5929,0.02544,0.0,1.0,False,False,False,False,False
MGP,ENSG00000111341,-0.2114,-0.7514,0.00195,0.3876,0.00378,False,False,False,False,False
FTH1,ENSG00000167996,-0.2108,-0.6455,0.01266,0.3351,0.01325,False,False,False,False,False
RPS4X,ENSG00000198034,-0.2097,-0.6697,0.00879,0.2857,0.03627,False,False,False,False,False
COX6A1,ENSG00000111775,-0.2075,-0.6158,0.01904,0.3574,0.00797,False,False,False,False,False
MIF,ENSG00000240972,-0.2024,-0.6055,0.02175,0.1718,0.21407,False,False,False,False,False
TMSB10,ENSG00000034510,-0.1991,-0.6772,0.0078,0.3512,0.00922,False,False,False,False,False
BGN,ENSG00000182492,-0.199,-0.6128,0.01981,-0.0411,0.76812,True,False,False,False,False
FOS,ENSG00000170345,-0.1978,-0.5177,0.05793,0.0911,0.51214,False,False,False,False,False
FKBP1A,ENSG00000088832,-0.1974,-0.6093,0.02072,0.0463,0.73959,False,False,False,False,False
RPL31,ENSG00000071082,-0.1967,-0.7285,0.00313,0.2388,0.08199,False,False,False,False,False
APOD,ENSG00000189058,-0.1945,-0.5109,0.06192,0.4373,0.00094,False,False,False,False,False
NEDD8,ENSG00000129559,-0.1943,-0.6135,0.01963,0.294,0.03094,False,False,False,False,False
RPL37,ENSG00000145592,-0.1934,-0.5722,0.03249,0.3593,0.00762,False,False,False,False,False
PLA2G2A,ENSG00000188257,-0.1928,-0.6246,0.01695,-0.0493,0.72327,True,False,False,False,False
ATP5PO,ENSG00000241837,-0.192,-0.6254,0.01677,0.4049,0.00239,False,False,False,False,False
UBB,ENSG00000170315,-0.1919,-0.6448,0.01278,0.2791,0.04095,False,False,False,False,False
LINGO1,ENSG00000169783,-0.1914,-0.5838,0.0284,0.2524,0.06562,False,False,False,False,False
CFD,ENSG00000197766,-0.1911,-0.7068,0.0047,0.434,0.00104,False,False,False,False,False
DUSP1,ENSG00000120129,-0.1899,-0.6846,0.00691,0.0861,0.53582,False,False,False,False,False
RPL36A,ENSG00000241343,-0.1898,-0.5282,0.05217,0.3295,0.01497,False,False,False,False,False
RPS29,ENSG00000213741,-0.1897,-0.6209,0.0178,0.3445,0.01075,False,False,False,False,False
ATP5MF,ENSG00000241468,-0.189,-0.6197,0.01808,0.0,1.0,False,False,False,False,False
CD59,ENSG00000085063,-0.1868,-0.5678,0.03415,0.2388,0.08202,False,False,False,False,False
SELENOM,ENSG00000198832,-0.1863,-0.6095,0.02067,0.2432,0.07643,False,False,False,False,False
