symbol,ensembl_id,r_json,r_lit_donor,p_lit_donor,r_peri_donor,p_peri_donor,same_sign,replicates_peri_p005_same_sign,replicates_both_p005_same_sign,replicates_peri_emp95_same_sign,replicates_both_emp95_same_sign
TTN-AS1,ENSG00000237298,0.3002,0.6094,0.0207,0.1832,0.18494,True,False,False,False,False
MLIP-AS1,ENSG00000235050,0.2446,0.5973,0.02409,0.2782,0.04169,True,True,True,False,False
SH3RF2,ENSG00000156463,0.2136,0.3664,0.1976,0.3635,0.00689,True,True,False,False,False
DDX60L,ENSG00000181381,0.1997,0.7425,0.00235,0.1932,0.16156,True,False,False,False,False
PRKCE,ENSG00000171132,0.1911,0.518,0.0578,-0.1364,0.32553,False,False,False,False,False
SLC8A1-AS1,ENSG00000227028,0.1904,0.5992,0.02354,0.2017,0.14351,True,False,False,False,False
WDFY3,ENSG00000163625,0.185,0.6338,0.01493,-0.0224,0.87227,False,False,False,False,False
ENSG00000234352,ENSG00000234352,0.1666,0.6343,0.01483,0.2626,0.05508,True,False,False,False,False
ATP1A2,ENSG00000018625,0.1655,0.5548,0.03946,0.1355,0.32842,True,False,False,False,False
TLN2,ENSG00000171914,0.1505,0.59,0.02637,-0.0684,0.6232,False,False,False,False,False
ADD3,ENSG00000148700,0.1502,0.5888,0.02673,0.2345,0.08782,True,False,False,False,False
PRELID2,ENSG00000186314,0.1486,0.1946,0.50499,0.262,0.05563,True,False,False,False,False
COBLL1,ENSG00000082438,0.1434,0.6445,0.01284,0.0512,0.71333,True,False,False,False,False
DGKG,ENSG00000058866,0.1425,0.3751,0.18631,-0.1488,0.28292,False,False,False,False,False
TMEM135,ENSG00000166575,0.1334,0.5304,0.05104,0.1755,0.20421,True,False,False,False,False
GRXCR2,ENSG00000204928,0.133,0.11,0.70816,0.2037,0.13952,True,False,False,False,False
MARCHF3,ENSG00000173926,0.1328,0.5689,0.03376,-0.105,0.44973,False,False,False,False,False
RYR2,ENSG00000198626,0.1327,0.1776,0.54351,0.1862,0.17764,True,False,False,False,False
SLC38A2,ENSG00000134294,0.1312,0.5475,0.04272,0.1197,0.38851,True,False,False,False,False
PCDH7,ENSG00000169851,0.1296,0.4851,0.07874,0.2212,0.10803,True,False,False,False,False
ACACB,ENSG00000076555,0.129,0.6652,0.00943,-0.1235,0.37381,False,False,False,False,False
TGM2,ENSG00000198959,0.124,0.4547,0.10235,0.2032,0.14064,True,False,False,False,False
ENSG00000280441,ENSG00000280441,0.1233,0.7113,0.00434,-0.2538,0.06405,False,False,False,False,False
PRR16,ENSG00000184838,0.1178,0.564,0.03565,0.1981,0.15102,True,False,False,False,False
GASK1B-AS1,ENSG00000248429,0.1162,0.7269,0.00323,0.0443,0.75037,True,False,False,False,False
SMCHD1,ENSG00000101596,0.1157,0.5464,0.04321,0.0256,0.85415,True,False,False,False,False
ENSG00000256947,ENSG00000256947,0.1151,0.5476,0.04265,0.3193,0.01859,True,True,True,False,False
ENSG00000258231,ENSG00000258231,0.1149,0.1037,0.72417,0.2493,0.06903,True,False,False,False,False
RCSD1,ENSG00000198771,0.1145,0.5038,0.06624,0.1756,0.20417,True,False,False,False,False
NFXL1,ENSG00000170448,0.1112,0.2745,0.34225,0.3142,0.02069,True,True,False,False,False
PRICKLE1,ENSG00000139174,0.1109,0.6912,0.00619,-0.201,0.14491,False,False,False,False,False
KIAA1217,ENSG00000120549,0.1092,0.5366,0.0479,0.2745,0.04459,True,True,True,False,False
LAMA4,ENSG00000112769,0.1087,0.304,0.29063,-0.0073,0.95809,False,False,False,False,False
ITPR2,ENSG00000123104,0.1079,0.4554,0.10176,0.1036,0.45618,True,False,False,False,False
LINC02552,ENSG00000256422,0.1072,0.3803,0.17981,0.0067,0.96139,True,False,False,False,False
CARMIL1,ENSG00000079691,0.1035,0.741,0.00243,-0.151,0.27565,False,False,False,False,False
LCORL,ENSG00000178177,0.1026,0.3584,0.20833,0.2189,0.11177,True,False,False,False,False
ENSG00000278996,ENSG00000278996,0.102,0.6305,0.01564,-0.1262,0.36307,False,False,False,False,False
PLPP3,ENSG00000162407,0.1007,0.1961,0.50167,0.3743,0.0053,True,True,False,False,False
JAK2,ENSG00000096968,0.1004,0.6387,0.01394,0.1392,0.31538,True,False,False,False,False
AFF3,ENSG00000144218,0.0998,0.4278,0.127,0.0479,0.73064,True,False,False,False,False
MAN1A1,ENSG00000111885,0.0987,0.2342,0.42025,0.3188,0.01879,True,True,False,False,False
ZNF704,ENSG00000164684,0.0985,0.604,0.02216,0.0132,0.92424,True,False,False,False,False
INVS,ENSG00000119509,0.0982,0.6988,0.00543,0.2207,0.10872,True,False,False,False,False
SOBP,ENSG00000112320,0.0981,0.7085,0.00456,0.1566,0.25798,True,False,False,False,False
CMSS1,ENSG00000184220,0.096,0.5617,0.03659,0.0643,0.64392,True,False,False,False,False
EDA,ENSG00000158813,0.0956,0.3013,0.2952,0.3139,0.02081,True,True,False,False,False
LINC01505,ENSG00000234323,0.0947,0.757,0.00172,0.1569,0.25721,True,False,False,False,False
FBXO11,ENSG00000138081,0.0945,0.7234,0.00346,0.105,0.44974,True,False,False,False,False
MYH6,ENSG00000197616,0.0944,0.0293,0.9209,0.2695,0.04879,True,True,False,False,False
HSPB1,ENSG00000106211,-0.4182,-0.6769,0.00783,-0.1264,0.36229,True,False,False,False,False
LINGO1,ENSG00000169783,-0.4141,-0.689,0.00642,0.1194,0.38973,False,False,False,False,False
