stage,factors,n_factors,youth_restoration_pct_excl,youth_restoration_pct_incl,empirical_clock_rev_yr_excl,empirical_clock_rev_yr_incl,senmayo_shift_excl,senmayo_shift_incl,GJA1_shift,SCN5A_shift,KCNJ2_shift,KCNH2_shift,KCNQ1_shift,CACNA1C_shift,ATP2A2_shift,RYR2_shift,latent_mahalanobis_dist,provenance,stage_rank
Stage1_SingleTF,NFKB1,1,2.0521,2.0652,0.1188,0.121,-0.00052,-0.00052,0.00132,0.01763,-0.00075,0.00952,0.00177,0.03647,0.01303,0.00169,0.1386,COMPUTED_HCA_5307_vCM_RIDGE_GRN,1.0
Stage1_SingleTF,MITF,1,1.7948,1.8651,-0.2738,-0.2588,0.00455,0.00455,0.00711,0.0107,8e-05,-0.00078,-5e-05,0.0003,0.01763,-3e-05,0.1698,COMPUTED_HCA_5307_vCM_RIDGE_GRN,2.0
Stage1_SingleTF,CTCF,1,1.4206,1.4275,0.1632,0.1619,8e-05,8e-05,0.00124,0.05886,-2e-05,0.00015,-0.00028,0.06371,0.00663,-0.00022,0.1176,COMPUTED_HCA_5307_vCM_RIDGE_GRN,3.0
Stage1_SingleTF,CREB1,1,1.3345,1.3677,-0.0073,-0.0096,0.0025,0.0025,-0.00304,0.00832,4e-05,0.00117,0.00038,0.0057,0.02005,0.00186,0.1257,COMPUTED_HCA_5307_vCM_RIDGE_GRN,4.0
Stage1_SingleTF,HIF1A,1,1.2652,1.339,0.1132,0.1375,0.00029,0.00029,0.00157,0.0111,5e-05,0.00087,0.00414,0.03901,0.00161,0.00308,0.1309,COMPUTED_HCA_5307_vCM_RIDGE_GRN,5.0
Stage1_SingleTF,REL,1,1.1543,1.1586,0.0987,0.0985,-0.00038,-0.00038,-0.00139,0.00096,-0.00034,0.00409,-0.00039,0.01656,0.00927,-0.00026,0.1426,COMPUTED_HCA_5307_vCM_RIDGE_GRN,6.0
Stage1_SingleTF,YY1,1,0.7394,0.7428,0.0601,0.0534,0.00046,0.00046,-0.00263,0.01306,-8e-05,0.00013,-0.00047,0.0446,0.00724,-0.0003,0.1223,COMPUTED_HCA_5307_vCM_RIDGE_GRN,7.0
Stage1_SingleTF,JUND,1,0.6844,0.6883,0.0194,0.0227,0.00204,0.00204,-0.00017,-0.0083,-0.0011,-0.00072,-0.00116,0.00422,-2e-05,-0.00087,0.1128,COMPUTED_HCA_5307_vCM_RIDGE_GRN,8.0
Stage1_SingleTF,SP3,1,0.627,0.6397,0.0459,0.0465,-0.0007,-0.0007,-0.00109,0.00333,-0.00573,0.00082,0.00178,0.00544,-0.00847,0.00166,0.134,COMPUTED_HCA_5307_vCM_RIDGE_GRN,9.0
Stage1_SingleTF,NFIC,1,0.6262,0.6237,0.0628,0.0541,-0.0017,-0.0017,0.0012,0.00515,0.00017,0.00177,0.00409,-0.00067,-0.00272,0.00294,0.1381,COMPUTED_HCA_5307_vCM_RIDGE_GRN,10.0
Stage1_SingleTF,HIPK2,1,0.4572,0.5481,0.0099,0.0109,0.00218,0.00218,-0.00065,0.0045,8e-05,0.00018,0.00159,0.01779,-0.00717,0.00114,0.1234,COMPUTED_HCA_5307_vCM_RIDGE_GRN,11.0
Stage1_SingleTF,AR,1,0.4431,0.4425,0.0113,0.006,0.00087,0.00087,0.00203,0.01578,-0.00011,0.02036,-0.00129,0.00992,0.01064,-0.00093,0.1289,COMPUTED_HCA_5307_vCM_RIDGE_GRN,12.0
Stage1_SingleTF,PPARGC1A,1,0.4425,0.2261,0.038,-0.0957,0.00029,0.00029,0.0016,0.00717,-0.00014,0.00318,0.00032,0.00592,0.00651,0.00399,0.132,COMPUTED_HCA_5307_vCM_RIDGE_GRN,13.0
Stage1_SingleTF,ARNT,1,0.4424,0.4555,0.0584,0.0637,-0.00017,-0.00017,0.0016,0.00065,9e-05,0.00028,0.00234,0.00289,7e-05,0.00174,0.1347,COMPUTED_HCA_5307_vCM_RIDGE_GRN,14.0
Stage1_SingleTF,FOXO1,1,0.4369,0.4491,0.0553,0.0655,0.00051,0.00051,0.00121,0.04774,-3e-05,0.0017,-0.0005,-0.00132,0.02731,-0.00036,0.1431,COMPUTED_HCA_5307_vCM_RIDGE_GRN,15.0
Stage1_SingleTF,MEF2A,1,0.4316,0.5767,0.0888,0.1012,0.00011,0.00011,0.00017,-0.00014,-2e-05,0.00082,-2e-05,0.00011,0.06494,0.00389,0.1412,COMPUTED_HCA_5307_vCM_RIDGE_GRN,16.0
Stage1_SingleTF,ESR2,1,0.431,0.4282,0.0192,0.0142,0.00018,0.00018,0.00432,0.03435,-0.0002,0.00135,-1e-05,0.00263,-0.00135,-0.00062,0.1438,COMPUTED_HCA_5307_vCM_RIDGE_GRN,17.0
Stage1_SingleTF,FHL2,1,0.3892,0.6388,0.0279,0.1082,-0.00025,-0.00025,0.00028,0.00283,-0.00014,0.00225,0.0003,0.00672,0.0021,0.00022,0.1534,COMPUTED_HCA_5307_vCM_RIDGE_GRN,18.0
Stage1_SingleTF,THRB,1,0.3795,0.4446,0.0055,-0.0156,0.00052,0.00052,-0.00067,0.0005,1e-05,-7e-05,0.00013,0.0021,0.00619,9e-05,0.1267,COMPUTED_HCA_5307_vCM_RIDGE_GRN,19.0
Stage1_SingleTF,NFE2L2,1,0.3709,0.3848,0.0251,0.0308,-0.00087,-0.00087,0.00055,0.00151,5e-05,0.00294,-0.00036,0.11421,0.01511,0.00368,0.1369,COMPUTED_HCA_5307_vCM_RIDGE_GRN,20.0
Stage1_SingleTF,HDAC4,1,0.3662,0.3793,0.051,0.0448,-0.00088,-0.00088,0.00036,0.00031,-7e-05,0.00019,-8e-05,0.00167,0.0252,-6e-05,0.1351,COMPUTED_HCA_5307_vCM_RIDGE_GRN,21.0
Stage1_SingleTF,SFPQ,1,0.3602,0.4001,0.0185,0.0161,0.00057,0.00057,0.01649,0.00752,-1e-05,0.00197,0.00514,0.00095,-0.00335,0.0037,0.1324,COMPUTED_HCA_5307_vCM_RIDGE_GRN,22.0
Stage1_SingleTF,DMTF1,1,0.3391,0.354,0.0359,0.0383,-0.00108,-0.00108,-0.0025,-0.00033,0.0,0.00033,0.00036,-0.00088,-0.0025,0.00026,0.1369,COMPUTED_HCA_5307_vCM_RIDGE_GRN,23.0
Stage1_SingleTF,RBPJ,1,0.3267,0.3233,0.0172,0.0128,-0.00018,-0.00018,0.00046,0.00127,-8e-05,0.00121,9e-05,0.00606,0.00236,6e-05,0.1337,COMPUTED_HCA_5307_vCM_RIDGE_GRN,24.0
Stage1_SingleTF,ZEB2,1,0.3015,0.3206,-0.0335,-0.0247,0.00086,0.00086,0.00875,0.00069,-1e-05,8e-05,-0.0,-0.00015,0.00092,-0.0,0.1233,COMPUTED_HCA_5307_vCM_RIDGE_GRN,25.0
Stage1_SingleTF,FOXO3,1,0.2944,0.3258,0.0614,0.0466,0.00251,0.00251,0.00162,0.01536,-2e-05,0.00251,-0.00015,-0.00134,0.00721,-0.0001,0.1582,COMPUTED_HCA_5307_vCM_RIDGE_GRN,26.0
Stage1_SingleTF,TFCP2,1,0.2819,0.3065,0.0436,0.048,-0.0003,-0.0003,-0.00015,-0.00023,-0.0,-0.00012,-4e-05,5e-05,0.0004,-3e-05,0.138,COMPUTED_HCA_5307_vCM_RIDGE_GRN,27.0
Stage1_SingleTF,GLI3,1,0.2727,0.2678,0.0277,0.0261,-0.00146,-0.00146,0.00161,-0.0002,-6e-05,1e-05,0.0,0.00054,0.00037,0.0,0.1371,COMPUTED_HCA_5307_vCM_RIDGE_GRN,28.0
Stage1_SingleTF,RARB,1,0.2607,0.2927,0.0365,0.0423,0.00022,0.00022,-2e-05,0.00024,1e-05,2e-05,0.00019,0.00208,5e-05,0.00014,0.1346,COMPUTED_HCA_5307_vCM_RIDGE_GRN,29.0
Stage1_SingleTF,TCF4,1,0.256,0.2526,-0.0448,-0.0436,0.00051,0.00051,-0.00059,0.00103,3e-05,-0.0001,4e-05,-0.00096,-9e-05,3e-05,0.1213,COMPUTED_HCA_5307_vCM_RIDGE_GRN,30.0
Stage1_SingleTF,PPARG,1,0.253,0.2571,0.0162,0.0111,0.00187,0.00187,0.00028,-0.00069,-0.00018,0.00033,-0.00188,-0.00116,0.12303,-0.00138,0.1467,COMPUTED_HCA_5307_vCM_RIDGE_GRN,31.0
Stage1_SingleTF,FOXP1,1,0.2516,0.2346,-0.1105,-0.1319,0.00053,0.00053,0.0053,-0.0013,-1e-05,-0.00079,-0.00019,0.00176,-0.00075,-0.00014,0.1379,COMPUTED_HCA_5307_vCM_RIDGE_GRN,32.0
Stage1_SingleTF,NFAT5,1,0.2408,0.2759,0.0271,0.0204,0.00029,0.00029,-0.00026,-0.00024,-9e-05,0.00105,-0.00022,0.00408,0.00221,-0.00016,0.1368,COMPUTED_HCA_5307_vCM_RIDGE_GRN,33.0
Stage1_SingleTF,MEF2C,1,0.2357,0.3202,0.0663,0.1318,0.00035,0.00035,0.00167,0.00045,3e-05,6e-05,3e-05,-0.00066,0.02268,2e-05,0.1384,COMPUTED_HCA_5307_vCM_RIDGE_GRN,34.0
Stage1_SingleTF,PPARA,1,0.2325,0.2522,0.014,0.0162,-0.0008,-0.0008,0.00044,-1e-05,0.0,-0.00018,-0.00016,-0.00033,0.04461,-0.00012,0.1424,COMPUTED_HCA_5307_vCM_RIDGE_GRN,35.0
Stage1_SingleTF,ID3,1,0.2259,0.2246,0.014,0.0137,-0.00133,-0.00133,-5e-05,0.00086,-8e-05,0.00035,-2e-05,0.00171,0.00015,-1e-05,0.1398,COMPUTED_HCA_5307_vCM_RIDGE_GRN,36.0
Stage1_SingleTF,NRF1,1,0.2176,0.2171,0.0059,-0.0023,-8e-05,-8e-05,-0.00082,0.00075,-0.00012,0.00287,-0.00022,0.00077,0.00047,0.01567,0.1365,COMPUTED_HCA_5307_vCM_RIDGE_GRN,37.0
Stage1_SingleTF,TCF7L2,1,0.1993,0.1997,0.023,0.0215,0.00051,0.00051,0.00755,0.02463,-3e-05,0.00031,1e-05,0.00026,-0.00247,1e-05,0.1391,COMPUTED_HCA_5307_vCM_RIDGE_GRN,38.0
Stage1_SingleTF,HSF1,1,0.1985,0.2235,0.0189,0.0168,-0.00075,-0.00075,0.00025,0.00092,-2e-05,0.00068,0.00016,-0.00013,-0.00124,0.00011,0.1325,COMPUTED_HCA_5307_vCM_RIDGE_GRN,39.0
Stage1_SingleTF,PROX1,1,0.1809,0.187,0.0011,-0.0003,0.00019,0.00019,-0.0001,0.00151,3e-05,7e-05,0.00053,0.00595,-0.00071,0.00038,0.1297,COMPUTED_HCA_5307_vCM_RIDGE_GRN,40.0
Stage1_SingleTF,SMAD1,1,0.1782,0.1808,0.0104,0.0117,-0.00012,-0.00012,0.00191,0.00341,-0.0,2e-05,3e-05,0.00059,0.00217,2e-05,0.1324,COMPUTED_HCA_5307_vCM_RIDGE_GRN,41.0
Stage1_SingleTF,MBD2,1,0.1667,0.179,0.0336,0.0346,-6e-05,-6e-05,4e-05,4e-05,1e-05,0.00021,8e-05,0.00052,-0.00039,6e-05,0.1349,COMPUTED_HCA_5307_vCM_RIDGE_GRN,42.0
Stage1_SingleTF,HDAC9,1,0.1654,0.2184,-0.0109,-0.0236,0.0006,0.0006,0.00188,0.00389,-5e-05,0.00074,0.0,0.00115,0.00922,0.0,0.1316,COMPUTED_HCA_5307_vCM_RIDGE_GRN,43.0
